Lag,ACF,PACF
0,1.0,1.0
1,0.7987698569207301,0.8079511196439569
2,0.6330144478347464,-0.014542280261798666
3,0.5146185025855567,0.03912416978990086
4,0.46035499367486726,0.1264657395482066
5,0.4808379051547793,0.22857768517962884
6,0.5304036452907748,0.19921336471002432
7,0.5656480356350534,0.13833040751657014
8,0.5089962896938502,-0.11964232224715786
9,0.45408550062665703,0.0555443543680501
10,0.44092631887340183,0.16274778227492318
11,0.42549899603280866,0.009038688149634176
12,0.4355266845935473,0.04999067817453735
13,0.4538151456683637,0.06790896500938254
14,0.4366204196848764,-0.028492799108372525
15,0.3506926628804973,-0.19305419582298797
16,0.3034884074706512,0.03674725572962912
17,0.2852003590686909,-0.0040212885044790606
18,0.23527839973763293,-0.22552365123475918
19,0.21194497925423694,-0.09496637274316636
20,0.19866711743520685,-0.06630557506292976
21,0.21765998608876627,0.13863860507297843
22,0.21445866130513117,0.004117859902639076
23,0.1916537226662608,-0.15036409805956355
24,0.17613993899304492,-0.011185849940161918
25,0.11268864250047356,-0.10159589255896107
26,0.03258466989646743,-0.2673799948948872
